ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049435,TMP00036158,-8390986
TMP00049436,TMP00036159,-8390985
TMP00049437,TMP00036160,-8390984
TMP00049439,TMP00036162,-8390976
TMP00049440,TMP00036163,-8390957
TMP00049441,TMP00036164,-8390956
TMP00049442,TMP00036165,-8390944
TMP00049443,TMP00036166,-8390943
TMP00049444,TMP00036167,-7777898
TMP00049445,TMP00036168,-7777897
TMP00049446,TMP00036169,-7777884
TMP00049447,TMP00036170,-7777883
TMP00049448,TMP00036171,-7777870
TMP00049449,TMP00036172,-7777869
TMP00049450,TMP00036173,-7777860
TMP00049451,TMP00036174,-7777859
TMP00049452,TMP00036175,-8192920
TMP00049453,TMP00036176,-8449021
TMP00049455,TMP00036178,-8376697
TMP00049456,TMP00036179,-8376696
TMP00049457,TMP00036180,-8376695
TMP00049458,TMP00036181,-8376694
TMP00049459,TMP00036182,-8534031
TMP00049460,TMP00036183,-7805243
TMP00049461,TMP00036184,-8534008
TMP00049462,TMP00036185,-7805344
TMP00049463,TMP00036186,-7805235
TMP00049464,TMP00036187,-7805236
TMP00049465,TMP00036188,-7805237
TMP00049466,TMP00036189,-7805245
TMP00049468,TMP00036191,-8534033
TMP00049470,TMP00036193,-8534007
TMP00049471,TMP00036194,-8534006
TMP00049472,TMP00036195,-7805343
TMP00049473,TMP00036196,-7805342
TMP00049474,TMP00036197,-7805341
TMP00049475,TMP00036198,-7805340
TMP00049476,TMP00036199,-7805339
TMP00049477,TMP00036200,-8534030
TMP00049478,TMP00036201,-8534029
TMP00049479,TMP00036202,-8534028
TMP00049480,TMP00036203,-8534027
TMP00049481,TMP00036204,-7805352
TMP00049482,TMP00036205,-8534026
TMP00049483,TMP00036207,-8360655
TMP00049484,TMP00036208,-8360654
TMP00049485,TMP00036209,-8360653
TMP00049486,TMP00036210,-8360652
TMP00049487,TMP00036211,-8533919
TMP00049488,TMP00036212,-8533912
TMP00049489,TMP00036213,-8533911
TMP00049490,TMP00036214,-8360649
TMP00049491,TMP00036215,-8360635
TMP00049492,TMP00036216,-8360628
TMP00049493,TMP00036217,-8360621
TMP00049494,TMP00036220,-8333975
TMP00049495,TMP00036221,-8448223
TMP00049496,TMP00036222,-8276203
TMP00049497,TMP00036223,-8276200
TMP00049498,TMP00036224,-8276188
TMP00049499,TMP00036225,-8276179
TMP00049500,TMP00036226,-8276194
TMP00049501,TMP00036227,-7828021
TMP00049502,TMP00036228,-8276166
TMP00049503,TMP00036229,-8276204
TMP00049504,TMP00036230,-8276244
TMP00049506,TMP00036232,-8276165
TMP00049507,TMP00036233,-7828057
TMP00049508,TMP00036234,-7827827
TMP00049509,TMP00036235,-8276254
TMP00049510,TMP00036236,-8276253
TMP00049511,TMP00036237,-8276252
TMP00049512,TMP00036238,-8276251
