component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
896,1,1,1,TMP00000112,False,False
907,2,1,1,TMP00000121,True,True
913,1,1,1,TMP00000014,True,True
915,1,1,1,TMP00000167,False,True
919,1,1,1,TMP00000012,False,False
924,1,1,1,TMP00000120,True,True
925,7,7,1,TMP00000060,True,True
937,1,1,1,TMP00000002,True,True
951,1,1,1,TMP00000104,True,True
970,3,2,1,TMP00000119,True,True
977,1,1,1,TMP00000130,False,False
983,1,1,1,TMP00000129,True,True
988,1,1,1,TMP00000098,False,False
989,2,1,1,TMP00000111,False,False
995,1,1,1,TMP00000013,True,True
998,14,10,1,TMP00000010,True,True
1002,1,1,1,TMP00000031,False,False
1003,11,9,1,TMP00000160,True,True
1004,1,1,1,TMP00000121,True,True
1010,1,1,1,TMP00000009,True,True
1017,1,1,1,TMP00000083,False,False
1019,1,1,1,TMP00000066,True,True
1022,1,1,1,TMP00000086,True,True
1024,1,1,1,TMP00000071,True,True
1033,13,12,1,TMP00000136,True,True
1034,1,1,1,TMP00000070,True,True
1040,8,8,1,TMP00000141,True,True
1047,15,11,1,TMP00000037,False,True
1049,2,1,1,TMP00000031,False,False
1056,19,19,1,TMP00000151,True,True
1061,1,1,1,TMP00000027,True,True
1071,1,1,1,TMP00000089,True,True
1078,1,1,1,TMP00000027,True,True
1082,1,1,1,TMP00000140,False,False
1083,1,1,1,TMP00000042,True,True
1091,1,1,1,TMP00000113,False,True
1100,1,1,1,TMP00000091,True,True
1102,12,11,1,TMP00000069,False,False
1139,1,1,1,TMP00000036,True,True
1156,1,1,1,TMP00000093,True,True
1160,7,5,1,TMP00000079,False,True
1161,1,1,1,TMP00000093,True,True
1172,2,1,1,TMP00000110,False,False
1209,2,2,1,TMP00000070,True,True
1236,1,1,1,TMP00000084,True,True
1241,1,1,1,TMP00000167,False,True
1244,1,1,1,TMP00000043,True,True
1253,1,1,1,TMP00000167,False,True
1256,8,8,1,TMP00000007,True,True
1261,12,12,1,TMP00000031,False,False
1263,1,1,1,TMP00000080,False,True
1271,1,1,1,TMP00000112,False,False
1272,1,1,1,TMP00000175,True,True
1275,1,1,1,TMP00000095,False,True
1281,1,1,1,TMP00000121,True,True
1283,1,1,1,TMP00000118,True,True
1309,1,1,1,TMP00000021,True,True
1313,1,1,1,TMP00000019,True,True
1324,1,1,1,TMP00000128,True,True
1325,1,1,1,TMP00000042,True,True
1341,1,1,1,TMP00000188,False,True
1344,1,1,1,TMP00000070,True,True
1348,1,1,1,TMP00000035,False,False
1357,1,1,1,TMP00000098,False,False
1358,1,1,1,TMP00000188,False,True
1361,1,1,1,TMP00000119,True,True
1370,2,1,1,TMP00000023,False,False
1380,1,1,1,TMP00000021,True,True
1395,4,4,1,TMP00000188,False,True
1400,3,2,1,TMP00000136,True,True
1408,1,1,1,TMP00000188,False,True
1412,1,1,1,TMP00000044,True,True
1428,1,1,1,TMP00000167,False,True
1437,1,1,1,TMP00000027,True,True
1439,1,1,1,TMP00000027,True,True
1447,8,8,1,TMP00000063,True,True
1449,1,1,1,TMP00000140,False,False
1465,1,1,1,TMP00000140,False,False
1483,2,2,1,TMP00000002,True,True
1487,1,1,1,TMP00000021,True,True
1496,1,1,1,TMP00000044,True,True
1503,1,1,1,TMP00000043,True,True
1506,14,10,1,TMP00000076,True,True
1512,1,1,1,TMP00000035,False,False
1518,1,1,1,TMP00000044,True,True
1520,1,1,1,TMP00000080,False,True
1526,1,1,1,TMP00000043,True,True
1532,1,1,1,TMP00000096,False,False
1537,1,1,1,TMP00000054,True,True
1541,2,1,1,TMP00000079,False,True
1545,1,1,1,TMP00000026,True,True
1554,1,1,1,TMP00000042,True,True
1567,1,1,1,TMP00000140,False,False
1578,1,1,1,TMP00000128,True,True
1588,20,16,1,TMP00000108,False,False
1589,1,1,1,TMP00000140,False,False
1591,1,1,1,TMP00000140,False,False
1594,1,1,1,TMP00000071,True,True
1595,1,1,1,TMP00000043,True,True
1598,2,1,1,TMP00000110,False,False
1599,1,1,1,TMP00000169,False,False
1611,1,1,1,TMP00000013,True,True
1613,11,11,1,TMP00000091,True,True
1614,2,1,1,TMP00000003,True,True
1616,1,1,1,TMP00000008,True,True
1620,1,1,1,TMP00000043,True,True
1629,1,1,1,TMP00000130,False,False
1654,2,1,1,TMP00000110,False,False
1660,1,1,1,TMP00000027,True,True
1662,1,1,1,TMP00000093,True,True
1676,1,1,1,TMP00000052,True,True
1691,1,1,1,TMP00000013,True,True
1700,1,1,1,TMP00000043,True,True
1707,1,1,1,TMP00000188,False,True
1709,1,1,1,TMP00000076,True,True
1732,1,1,1,TMP00000012,False,False
1734,1,1,1,TMP00000089,True,True
1740,1,1,1,TMP00000043,True,True
1752,1,1,1,TMP00000002,True,True
1773,1,1,1,TMP00000101,True,True
1783,1,1,1,TMP00000116,True,True
1803,2,1,1,TMP00000079,False,True
1804,1,1,1,TMP00000036,True,True
1815,1,1,1,TMP00000188,False,True
1816,1,1,1,TMP00000188,False,True
1819,1,1,1,TMP00000093,True,True
1827,1,1,1,TMP00000140,False,False
1830,1,1,1,TMP00000143,False,False
1832,1,1,1,TMP00000121,True,True
